user_uuid,course_uuid,legajo,course_name,periodo,particion,fecha_mesa_epoch,nombre_examen,nota_parcial,nota_final_materia
13df535e-065c-4593-98ea-5b1e29015b7d,09614210-fce2-48bc-93e3-bc4bd441fe00,834066QFF,Progressive homogeneous structure,1-2022,28,2022-05-06,PRIMER PARCIAL(20),8.0,9.0
13df535e-065c-4593-98ea-5b1e29015b7d,09614210-fce2-48bc-93e3-bc4bd441fe00,834066QFF,Progressive homogeneous structure,1-2022,38,2022-05-31,SEGUNDO PARCIAL(20),10.0,9.0
8289fbcb-a999-4b5b-8d7e-a4ea0fe477d5,14d11dfe-01d7-4c8a-8489-59cce7e2d051,730281VXM,Switchable radical service-desk,1-2022,21,2022-04-01,PRIMER PARCIAL(20),4.0,5.0
8289fbcb-a999-4b5b-8d7e-a4ea0fe477d5,14d11dfe-01d7-4c8a-8489-59cce7e2d051,730281VXM,Switchable radical service-desk,1-2022,45,2022-05-10,SEGUNDO PARCIAL(20),5.0,5.0
8289fbcb-a999-4b5b-8d7e-a4ea0fe477d5,14d11dfe-01d7-4c8a-8489-59cce7e2d051,730281VXM,Switchable radical service-desk,1-2022,45,2022-05-10,SEGUNDO PARCIAL(20),5.0,5.0
8289fbcb-a999-4b5b-8d7e-a4ea0fe477d5,14d11dfe-01d7-4c8a-8489-59cce7e2d051,730281VXM,Switchable radical service-desk,1-2022,50,2022-05-19,INTEGRADOR(30),5.0,5.0
09489c7c-85de-4095-a9d6-8c1d236fa722,95d2f1cb-05bf-4915-934a-090799f791bd,424514QSK,Re-contextualized hybrid initiative,1-2022,32,2022-04-28,SEGUNDO PARCIAL(20),7.0,4.0
09489c7c-85de-4095-a9d6-8c1d236fa722,95d2f1cb-05bf-4915-934a-090799f791bd,424514QSK,Re-contextualized hybrid initiative,1-2022,48,2022-05-19,RECUPERATORIO PRIMER PARCIAL(20),8.0,4.0
04ad5b31-4753-4c60-b413-38541c305811,9fb5bf9b-b5e3-40ef-b69e-8681fa52cb8d,666995XWH,Face-to-face incremental instruction set,1-2022,27,2022-05-04,PRIMER PARCIAL(20),8.0,8.0
04ad5b31-4753-4c60-b413-38541c305811,9fb5bf9b-b5e3-40ef-b69e-8681fa52cb8d,666995XWH,Face-to-face incremental instruction set,1-2022,51,2022-07-02,SEGUNDO PARCIAL(20),7.0,8.0
53e6f60f-188c-430d-b4c9-7452395ff17f,d9cc0ef0-3282-4c10-b2c7-bc231a26ca6a,869414PXB,Customizable hybrid forecast,1-2022,17,2022-04-08,PRIMER PARCIAL(20),4.0,7.0
53e6f60f-188c-430d-b4c9-7452395ff17f,d9cc0ef0-3282-4c10-b2c7-bc231a26ca6a,869414PXB,Customizable hybrid forecast,1-2022,38,2022-05-06,SEGUNDO PARCIAL(20),8.0,7.0
53e6f60f-188c-430d-b4c9-7452395ff17f,d9cc0ef0-3282-4c10-b2c7-bc231a26ca6a,869414PXB,Customizable hybrid forecast,1-2022,49,2022-05-20,RECUPERATORIO PRIMER PARCIAL(20),6.0,7.0
151e0c8e-2ede-4fe3-b878-3794e946c1ac,36e2d84b-246d-4086-8ea9-d3586592b476,717732SMU,Virtual intermediate Graphical User Interface,1-2022,28,2022-04-13,PRIMER PARCIAL(20),6.0,5.0
151e0c8e-2ede-4fe3-b878-3794e946c1ac,36e2d84b-246d-4086-8ea9-d3586592b476,717732SMU,Virtual intermediate Graphical User Interface,1-2022,45,2022-05-11,SEGUNDO PARCIAL(20),4.0,5.0
ef290964-32df-4d34-a805-19c6d992cab6,36e2d84b-246d-4086-8ea9-d3586592b476,558410QZZ,Virtual intermediate Graphical User Interface,1-2022,30,2022-04-16,PRIMER PARCIAL(20),10.0,10.0
ef290964-32df-4d34-a805-19c6d992cab6,36e2d84b-246d-4086-8ea9-d3586592b476,558410QZZ,Virtual intermediate Graphical User Interface,1-2022,47,2022-05-14,SEGUNDO PARCIAL(20),10.0,10.0
ef290964-32df-4d34-a805-19c6d992cab6,ff748c15-d912-42ae-b144-7f98ded85dd4,558410QZZ,Business-focused bandwidth-monitored matrices,1-2022,31,2022-06-09,PRIMER PARCIAL(20),9.0,10.0
